名称,在售价格,在售数量
廓尔喀刀（★ StatTrak™） | 森林 DDPAT (战痕累累),￥506.00,"
                            11"
M4A1消音版（StatTrak™） | 隐伏帝王龙 (久经沙场),￥11.81,"
                            122"
双持贝瑞塔 | 精琢孔雀石 (略有磨损),￥2.06,"
                            412"
P90 | 元女王 (战痕累累),￥2.78,"
                            48"
封装的涂鸦 | 背刺 (军绿),￥0.21,"
                            2"
P2000（纪念品） | 豹纹迷彩 (战痕累累),￥1.62,"
                            4"
M4A1 消音型 | 冒险家乐园 (崭新出厂),￥26193.00,"
                            11"
AUG（StatTrak™） | 贵族 (破损不堪),￥29.69,"
                            6"
刺刀（★） | 澄澈之水 (崭新出厂),￥1520.00,"
                            18"
刺刀（★ StatTrak™） | 黑色层压板 (久经沙场),￥1384.00,"
                            5"
MP9（StatTrak™） | 铁血玫瑰 (久经沙场),￥95.55,"
                            8"
加利尔AR | 凤凰商号 (崭新出厂),￥17.27,"
                            73"
M4A1消音版 | 梦魇 (崭新出厂),￥666.00,"
                            125"
流浪者匕首（★） | 夜色 (崭新出厂),￥2071.00,"
                            4"
法玛斯（纪念品） | 奈芙蒂斯之河 (略有磨损),￥713.00,"
                            5"
双持贝瑞塔 | 胶面花纹 (崭新出厂),￥39.30,"
                            5"
印花 | 弹指神功,￥10.50,"
                            4"
M249 | 星云十字军 (久经沙场),￥10.22,"
                            45"
G3SG1 | 丰饶女神 (略有磨损),￥31.81,"
                            35"
MP7（StatTrak™） | 速递 (久经沙场),￥21.15,"
                            16"
内格夫（StatTrak™） | 橙灰之名 (崭新出厂),￥26.00,"
                            63"
MP7 | 速递 (略有磨损),￥15.47,"
                            48"
截短霰弹枪（StatTrak™） | 黑砂 (崭新出厂),￥6.65,"
                            13"
MP7 | 帝国 (略有磨损),￥19.48,"
                            30"
AWP | 砷化污染 (久经沙场),￥5.32,"
                            331"
挂件 | 小圆堡,￥5.03,"
                            696"
封装的涂鸦 | 王冠 (丁香),￥0.22,"
                            2"
AK-47 | 抽象派 1337 (崭新出厂),￥7200.00,"
                            37"
AK-47 | 燃料喷射器 (久经沙场),￥1288.00,"
                            197"
印花 | Metizport（全息）| 2025年奥斯汀锦标赛,￥88.00,"
                            16"
MAG-7（StatTrak™） | 北冥有鱼 (久经沙场),￥4.75,"
                            159"
亚诺（野草） | 游击队,￥156.00,"
                            450"
MAC-10（纪念品） | 核子花园 (久经沙场),￥97.30,"
                            3"
MP7 | 银装素裹 (破损不堪),￥177.00,"
                            1"
AK-47（纪念品） | 钢铁三角洲 (战痕累累),￥71.99,"
                            10"
MAC-10 | 板条箱 (战痕累累),￥2.64,"
                            14"
UMP-45 | 泥地杀手 (崭新出厂),￥1.46,"
                            24"
CZ75自动型（StatTrak™） | 先驱 (崭新出厂),￥62.22,"
                            5"
封装的涂鸦 | 美元项链 (血红),￥0.11,"
                            6"
USP消音版（StatTrak™） | 27 (破损不堪),￥3.58,"
                            31"
格洛克18型 | 本生灯 (略有磨损),￥5.47,"
                            44"
印花 | 战痕累累（全息）,￥103.89,"
                            65"
Tec-9（StatTrak™） | 贾姆比亚 (战痕累累),￥3.64,"
                            7"
印花 | 机械狗,￥0.51,"
                            25"
USP消音版 | 银装素裹 (略有磨损),￥1249.00,"
                            160"
USP消音版 | 银装素裹 (略有磨损),￥1249.00,"
                            160"
M4A4 | 海军虎纹迷彩 (崭新出厂),￥5.26,"
                            772"
FN57 | 蓝莓樱桃 (崭新出厂),￥876.00,"
                            68"
P2000（StatTrak™） | 火灵 (崭新出厂),￥1375.00,"
                            7"
刺刀（★） | 狩猎网格 (略有磨损),￥965.00,"
                            8"
流浪者匕首（★） | 多普勒 (略有磨损),￥3667.00,"
                            11"
MP9 | 彩绘玻璃 (崭新出厂),￥1075.00,"
                            25"
海豹短刀（★） | 都市伪装 (破损不堪),￥639.00,"
                            7"
短剑（★ StatTrak™） | 屠夫 (略有磨损),￥3082.00,"
                            10"
刺刀（★） | 黑色层压板 (破损不堪),￥1191.00,"
                            31"
AK-47 | 怪兽在B (久经沙场),￥1414.99,"
                            141"
法玛斯（StatTrak™） | 纪念碑 (战痕累累),￥367.00,"
                            2"
法玛斯 | 幻灭之旅 (久经沙场),￥332.00,"
                            485"
折刀（★） | 森林 DDPAT (战痕累累),￥390.00,"
                            23"
沙漠之鹰（StatTrak™） | 书法涂鸦 (破损不堪),￥3.64,"
                            271"
熊刀（★ StatTrak™） | 多普勒 (崭新出厂),￥2117.00,"
                            12"
锯齿爪刀（★） | 多普勒 (略有磨损),￥7357.00,"
                            13"
双持贝瑞塔 | 暗网总机 (崭新出厂),￥30.93,"
                            21"
新星 | 石墨黑 (略有磨损),￥56.60,"
                            31"
MP9 | 绿色格纹 (久经沙场),￥27.94,"
                            6"
M4A4 | 彼岸花 (破损不堪),￥38.51,"
                            78"
M4A4 | 彼岸花 (略有磨损),￥177.99,"
                            153"
M4A1消音版（StatTrak™） | 黑莲花 (久经沙场),￥147.99,"
                            438"
M4A1消音版 | 翼蜥 (崭新出厂),￥228.00,"
                            91"
1 号印花胶囊,￥4.29,"
                            115"
准尉 | 法国宪兵特勤队,￥107.00,"
                            459"
印花 | OG（闪亮）| 2020 RMR,￥2.05,"
                            47"
M249 | 系统锁定 (破损不堪),￥2.56,"
                            12"
CZ75自动型 | 战术高手 (久经沙场),￥6.00,"
                            73"
FN57（StatTrak™） | 混合体 (战痕累累),￥8.18,"
                            107"
求生匕首（★） | 渐变大理石 (略有磨损),￥1451.00,"
                            10"
UMP-45 | 深夜通勤 (崭新出厂),￥32.40,"
                            37"
AWP | 亡灵之主 (崭新出厂),￥193.00,"
                            128"
流浪者匕首（★） | 夜色 (略有磨损),￥863.00,"
                            31"
印花 | tarik（闪亮）| 2018年波士顿锦标赛,￥422.00,"
                            2"
法玛斯 | 暗夜锁链 (破损不堪),￥81.50,"
                            1"
刺刀（★ StatTrak™） | 都市伪装 (久经沙场),￥1502.00,"
                            3"
流浪者匕首（★ StatTrak™） | 都市伪装 (战痕累累),￥857.00,"
                            11"
穿肠刀（★） | 致命紫罗兰 (破损不堪),￥478.00,"
                            10"
2025年布达佩斯锦标赛传奇组亲笔签名胶囊,￥5.34,"
                            10300"
2025年布达佩斯锦标赛传奇组亲笔签名胶囊,￥5.34,"
                            10300"
沙漠之鹰 | 青铜装饰 (战痕累累),￥5.91,"
                            23"
SSG 08 | 炎龙之焰 (久经沙场),￥2941.00,"
                            427"
廓尔喀刀（★ StatTrak™） | 枯焦之色 (战痕累累),￥534.00,"
                            13"
P90 | 浅坟 (战痕累累),￥340.00,"
                            15"
XM1014 | 行尸攻势 (崭新出厂),￥11.60,"
                            399"
印花 | AMKAL ESPORTS（全息）| 2024年哥本哈根锦标赛,￥240.00,"
                            93"
法玛斯 | ZX81 彩色 (久经沙场),￥25.45,"
                            63"
法玛斯 | 目皆转睛 (略有磨损),￥59.23,"
                            218"
XM1014 | 要抱抱 (崭新出厂),￥160.00,"
                            27"
法玛斯 | ZX81 彩色 (崭新出厂),￥117.99,"
                            49"
法玛斯 | 奈芙蒂斯之河 (久经沙场),￥224.00,"
                            57"
法玛斯 | 冥界之憎 (崭新出厂),￥337.00,"
                            70"
沙漠之鹰 | 深红之网 (略有磨损),￥348.96,"
                            127"
印花 | mezii | 2025年布达佩斯锦标赛,￥0.02,"
                            167"
短剑（★） | 外表生锈 (破损不堪),￥1040.00,"
                            17"
MP7 | 血腥运动 (久经沙场),￥237.90,"
                            524"
法玛斯 | 机械工业 (久经沙场),￥356.00,"
                            229"
驾驶手套（★） | 超越 (崭新出厂),￥3987.00,"
                            4"
M9 刺刀（★ StatTrak™） | 伽玛多普勒 (崭新出厂),￥11909.00,"
                            21"
P2000（StatTrak™） | 红色碎片迷彩 (战痕累累),￥17.66,"
                            5"
P250（StatTrak™） | 铠甲 (略有磨损),￥4.60,"
                            18"
“两次”麦考伊 | 美国空军战术空中管制部队,￥72.88,"
                            611"
印花 | sh1ro（全息，冠军）| 2024年上海锦标赛,￥6.00,"
                            15"
音乐盒 | Rad Cat - 理由,￥11.09,"
                            152"
USP消音版（StatTrak™） | 地狱门票 (破损不堪),￥11.67,"
                            44"
音乐盒 | The Verkkars - EZ4ENCE,￥25.88,"
                            321"
P2000 | 珊瑚半调 (崭新出厂),￥3.87,"
                            301"
沙漠之鹰（StatTrak™） | 巨蟒冲击 (久经沙场),￥8.91,"
                            87"
P2000 | 红翼 (略有磨损),￥2.29,"
                            278"
MAC-10 | 赛博恶魔 (略有磨损),￥15.30,"
                            65"
AK-47 | 水栽竹 (久经沙场),￥15687.00,"
                            30"
印花 | 痛痛（闪亮）,￥17.66,"
                            22"
M4A1消音版 | 幽独 (略有磨损),￥38.00,"
                            8582"
封装的创世终端机,￥2.56,"
                            20760"
印花 | kennyS | 2019年柏林锦标赛,￥13.71,"
                            40"
USP消音版（纪念品） | 引擎故障灯 (战痕累累),￥32.69,"
                            18"
封装的涂鸦 | Team Liquid | 2018年伦敦锦标赛,￥14.81,"
                            6"
海豹短刀（★ StatTrak™） | 夜色 (久经沙场),￥1027.00,"
                            6"
MP5-SD（StatTrak™） | 鼻青脸肿 (略有磨损),￥17.00,"
                            7"
鲍伊猎刀（★） | 致命紫罗兰 (久经沙场),￥541.00,"
                            43"
MP9（StatTrak™） | 焦油缠绕 (略有磨损),￥19.26,"
                            12"
折叠刀（★ StatTrak™） | 渐变大理石 (略有磨损),￥4129.00,"
                            2"
摩托手套（★） | 小心烟雾弹 (崭新出厂),￥6917.00,"
                            3"
裹手（★） | 套印 (崭新出厂),￥4369.00,"
                            11"
MP9 | 气密 (破损不堪),￥74.69,"
                            158"
穿肠刀（★） | 森林 DDPAT (破损不堪),￥439.00,"
                            11"
鲍伊猎刀（★ StatTrak™） | 黑色层压板 (战痕累累),￥676.00,"
                            9"
刺刀（★） | 狩猎网格 (战痕累累),￥917.00,"
                            11"
AK-47 | 怪兽在B (崭新出厂),￥8100.00,"
                            64"
MP9 | 极寒三色 (略有磨损),￥46.94,"
                            433"
廓尔喀刀（★） | 渐变之色 (崭新出厂),￥1687.99,"
                            188"
专业手套（★） | 陆军少尉长官 (久经沙场),￥895.00,"
                            156"
AK-47 | 霓虹骑士 (久经沙场),￥399.00,"
                            356"
格洛克18型 | 异星世界 (战痕累累),￥2.24,"
                            17"
M4A4 | 活色生香 (崭新出厂),￥1905.00,"
                            92"
蝴蝶刀（★） | 森林 DDPAT (久经沙场),￥3154.99,"
                            38"
印花 | FURIA（金色）| 2022年安特卫普锦标赛,￥71.77,"
                            2"
格洛克18型 | 水灵 (崭新出厂),￥255.00,"
                            269"
Tec-9（StatTrak™） | 战火重燃 (略有磨损),￥20.97,"
                            7"
P90（StatTrak™） | 冷血无情 (破损不堪),￥14.05,"
                            13"
双持贝瑞塔 | 决斗家 (久经沙场),￥2267.00,"
                            4"
弯刀（★ StatTrak™） | 外表生锈 (战痕累累),￥628.00,"
                            26"
挂件 | K金CT,￥150.00,"
                            506"
运动手套（★） | 干旱 (破损不堪),￥4868.00,"
                            32"
海豹短刀（★） | 北方森林 (略有磨损),￥596.00,"
                            21"
鲍伊猎刀（★） | 致命紫罗兰 (略有磨损),￥868.00,"
                            9"
系绳匕首（★） | 屠夫 (略有磨损),￥1112.00,"
                            24"
锯齿爪刀（★） | 枯焦之色 (破损不堪),￥1664.00,"
                            3"
系绳匕首（★） | 蓝钢 (崭新出厂),￥1226.00,"
                            4"
短剑（★） | 夜色 (略有磨损),￥1240.00,"
                            10"
系绳匕首（★ StatTrak™） | 森林 DDPAT (久经沙场),￥557.00,"
                            18"
AWP（StatTrak™） | 珊瑚树 (崭新出厂),￥1196.00,"
                            16"
求生匕首（★） | 屠夫 (久经沙场),￥1099.00,"
                            25"
M9 刺刀（★） | 自由之手 (战痕累累),￥2706.00,"
                            8"
蝴蝶刀（★ StatTrak™） | 屠夫 (崭新出厂),￥12991.00,"
                            11"
骷髅匕首（★） | 都市伪装 (破损不堪),￥1015.00,"
                            16"
UMP-45（StatTrak™） | 白狼 (久经沙场),￥4.18,"
                            134"
宙斯x27电击枪 | 当岁鱼 (破损不堪),￥3.44,"
                            68"
XM1014 | 幽独 (略有磨损),￥19.61,"
                            155"
骷髅匕首（★） | 都市伪装 (破损不堪),￥1015.00,"
                            16"
UMP-45（StatTrak™） | 白狼 (久经沙场),￥4.18,"
                            134"
宙斯x27电击枪 | 当岁鱼 (破损不堪),￥3.44,"
                            68"
XM1014 | 幽独 (略有磨损),￥19.61,"
                            155"
MAC-10 | 捕猎者 (崭新出厂),￥9.64,"
                            32"
XM1014 | 口香糖迷彩 (战痕累累),￥0.44,"
                            28"
M4A1消音版 | 蒸汽波 (略有磨损),￥981.00,"
                            163"
P250 | 炼狱小镇 (破损不堪),￥5.50,"
                            21"
R8左轮手枪（StatTrak™） | 深红之网 (破损不堪),￥6.23,"
                            9"
刺刀（★） | 都市伪装 (战痕累累),￥975.00,"
                            15"
新星（纪念品） | 胡桃木 (崭新出厂),￥119.00,"
                            2"
PP-野牛（纪念品） | 辐照警报 (略有磨损),￥24.09,"
                            5"
M4A4 | 杀意大名 (略有磨损),￥28.00,"
                            237"
格洛克18型 | 崩络克18型 (略有磨损),￥7.66,"
                            500"
P250 | 随便玩玩 (破损不堪),￥3.50,"
                            171"
封装的涂鸦 | 哔哔声 (砖红),￥3.80,"
                            1"
AK-47（纪念品） | 狩猎网格 (破损不堪),￥92.95,"
                            5"
AK-47 | 荒野反叛 (久经沙场),￥529.99,"
                            342"
内格夫（StatTrak™） | 橙灰之名 (破损不堪),￥5.01,"
                            35"
熊刀（★） | 狩猎网格 (久经沙场),￥447.00,"
                            49"
熊刀（★） | 狩猎网格 (久经沙场),￥447.00,"
                            49"
格洛克18型（StatTrak™） | 荒野反叛 (战痕累累),￥662.00,"
                            1"
廓尔喀刀（★） | 表面淬火 (破损不堪),￥882.00,"
                            33"
M4A4 | 战场之星 (略有磨损),￥348.00,"
                            131"
AUG | 席德.米德 (久经沙场),￥79.79,"
                            241"
锯齿爪刀（★） | 致命紫罗兰 (久经沙场),￥1890.00,"
                            31"
P90（StatTrak™） | 盲点 (战痕累累),￥93.14,"
                            4"
MP7 | 权力之心 (破损不堪),￥12.48,"
                            7"
MAC-10 | 板条箱 (破损不堪),￥3.58,"
                            20"
UMP-45（StatTrak™） | 金铋辉煌 (久经沙场),￥47.12,"
                            15"
截短霰弹枪（StatTrak™） | 夜百合 (久经沙场),￥1.98,"
                            29"
MP7 | 都市危机 (战痕累累),￥7.23,"
                            9"
UMP-45 | 白狼 (战痕累累),￥3.65,"
                            30"
USP消音版 | 午夜行动 (久经沙场),￥2.19,"
                            124"
M4A4（StatTrak™） | 星级 (略有磨损),￥393.93,"
                            23"
CZ75自动型 | 回转 (久经沙场),￥61.53,"
                            43"
UMP-45 | 碧漩 (战痕累累),￥0.06,"
                            54"
AUG（StatTrak™） | 贵族 (久经沙场),￥12.77,"
                            39"
P90（StatTrak™） | 冷血无情 (崭新出厂),￥17.87,"
                            15"
SCAR-20 | 雇佣兵 (略有磨损),￥0.06,"
                            62"
AUG（StatTrak™） | 贵族 (久经沙场),￥12.77,"
                            39"
P90（StatTrak™） | 冷血无情 (崭新出厂),￥17.87,"
                            15"
SCAR-20 | 雇佣兵 (略有磨损),￥0.06,"
                            62"
XM1014 | 宁静 (崭新出厂),￥177.88,"
                            24"
格洛克18型 | 凫色涂鸦 (破损不堪),￥2.41,"
                            73"
印花 | dav1deuS（金色）| 2025年奥斯汀锦标赛,￥16.61,"
                            2"
沙漠之鹰 | 热处理 (破损不堪),￥9.10,"
                            1609"
P250（纪念品） | 天旱 (久经沙场),￥0.06,"
                            132"
印花 | M80 | 2025年奥斯汀锦标赛,￥0.09,"
                            147"
系绳匕首（★ StatTrak™） | 大马士革钢 (破损不堪),￥1034.00,"
                            2"
猎杀者匕首（★） | 森林 DDPAT (破损不堪),￥581.00,"
                            9"
爪子刀（★） | 大马士革钢 (破损不堪),￥4510.00,"
                            6"
P2000 | 海之泡沫 (略有磨损),￥989.00,"
                            5"
印花 | FACEIT | 2018年伦敦锦标赛,￥13.50,"
                            20"
P250 | 建构主义者 (久经沙场),￥0.26,"
                            40"
M4A4 | 反冲精英 (久经沙场),￥238.00,"
                            741"
AK-47 | 霓虹革命 (略有磨损),￥1434.00,"
                            289"
封装的涂鸦 | Team Liquid | 2017年亚特兰大锦标赛,￥50.86,"
                            2"
P250 | 建构主义者 (崭新出厂),￥1.97,"
                            323"
XM1014（纪念品） | 蔚蓝多变迷彩 (战痕累累),￥13.80,"
                            13"
AK-47 | 霓虹革命 (略有磨损),￥1434.00,"
                            289"
封装的涂鸦 | Team Liquid | 2017年亚特兰大锦标赛,￥50.86,"
                            2"
P250 | 建构主义者 (崭新出厂),￥1.97,"
                            323"
XM1014（纪念品） | 蔚蓝多变迷彩 (战痕累累),￥13.80,"
                            13"
FN57 | 怒氓 (久经沙场),￥351.50,"
                            370"
XM1014（StatTrak™） | 西装革履 (崭新出厂),￥92.92,"
                            14"
M4A4 | 合纵 (战痕累累),￥2200.00,"
                            40"
折刀（★） | 致命紫罗兰 (略有磨损),￥481.00,"
                            44"
USP消音版 | 27 (崭新出厂),￥16.56,"
                            152"
UMP-45 | 炽烈之炎 (崭新出厂),￥299.99,"
                            164"
UMP-45 | 深红箔 (略有磨损),￥43.65,"
                            346"
弯刀（★ StatTrak™） | 森林 DDPAT (久经沙场),￥669.00,"
                            13"
蝴蝶刀（★ StatTrak™） | 森林 DDPAT (略有磨损),￥6458.00,"
                            3"
猎杀者匕首（★） | 北方森林 (破损不堪),￥639.00,"
                            15"
印花 | 完美世界（闪耀）| 2024年上海锦标赛,￥2.05,"
                            258"
挂件（纪念品） | 2025年奥斯汀锦标赛高光时刻 | 特,￥1.91,"
                            45"
FN57（StatTrak™） | 混合体 (久经沙场),￥8.80,"
                            204"
USP消音版 | PC-GRN (崭新出厂),￥8.82,"
                            238"
沙漠之鹰（StatTrak™） | 后发制人 (略有磨损),￥36.00,"
                            37"
封装的涂鸦 | 加利尔AR压枪 (黄褐),￥46.06,"
                            1"
FN57（StatTrak™） | 混合体 (久经沙场),￥8.80,"
                            204"
USP消音版 | PC-GRN (崭新出厂),￥8.82,"
                            238"
沙漠之鹰（StatTrak™） | 后发制人 (略有磨损),￥36.00,"
                            37"
封装的涂鸦 | 加利尔AR压枪 (黄褐),￥46.06,"
                            1"
印花 | iM（金色）| 2024年哥本哈根锦标赛,￥32.37,"
                            3"
AK-47 | 午夜层压板 (久经沙场),￥64.35,"
                            255"
音乐盒 | HEALTH，鼠役,￥12.00,"
                            57"
印花 | magixx（全息，冠军）| 2024年上海锦标赛,￥3.29,"
                            72"
USP消音版 | 皇家卫队 (久经沙场),￥19.04,"
                            181"
印花 | Techno4K（金色）| 2024年哥本哈根锦标赛,￥24.34,"
                            1"
封装的涂鸦 | 跳跃 (棕褐),￥18.49,"
                            1"
熊刀（★） | 北方森林 (战痕累累),￥463.00,"
                            26"
蝴蝶刀（★） | 自动化 (久经沙场),￥6750.00,"
                            96"
截短霰弹枪（纪念品） | 刹车灯 (略有磨损),￥25.33,"
                            5"
锯齿爪刀（★） | 渐变之色 (崭新出厂),￥6200.00,"
                            41"
印花 | electronic（全息）| 2024年哥本哈根锦标赛,￥49.65,"
                            1"
格洛克18型 | 核子反应 (崭新出厂),￥455.00,"
                            22"
加利尔AR（StatTrak™） | 信号灯 (略有磨损),￥15.68,"
                            30"
AK-47 | 一发入魂 (破损不堪),￥234.99,"
                            426"
法玛斯（StatTrak™） | 机械工业 (战痕累累),￥153.00,"
                            9"
法玛斯（StatTrak™） | 机械工业 (战痕累累),￥153.00,"
                            9"
P90 | 满昏作品 (破损不堪),￥0.26,"
                            70"
AK-47 | 一发入魂 (略有磨损),￥500.00,"
                            228"
Tec-9 | 燃料喷射器 (略有磨损),￥116.00,"
                            84"
格洛克18型 | 零食派对 (久经沙场),￥197.97,"
                            42"
AK-47 | 皇后 (破损不堪),￥564.00,"
                            372"
加利尔AR | 冰核聚变 (战痕累累),￥0.19,"
                            17"
熊刀（★ StatTrak™） | 都市伪装 (破损不堪),￥849.00,"
                            5"
流浪者匕首（★ StatTrak™） | 森林 DDPAT (战痕累累),￥707.00,"
                            12"
弯刀（★） | 蓝钢 (战痕累累),￥896.00,"
                            10"
系绳匕首（★ StatTrak™） | 夜色 (破损不堪),￥888.00,"
                            5"
折刀（★） | 多普勒 (略有磨损),￥1764.00,"
                            13"
流浪者匕首（★ StatTrak™） | 表面淬火 (战痕累累),￥1573.00,"
                            9"
USP消音版 | 公路杀手 (战痕累累),￥224.00,"
                            4"
折刀（★ StatTrak™） | 枯焦之色 (久经沙场),￥500.00,"
                            17"
廓尔喀刀（★ StatTrak™） | 森林 DDPAT (破损不堪),￥554.00,"
                            7"
流浪者匕首（★ StatTrak™） | 渐变大理石 (崭新出厂),￥2164.00,"
                            19"
穿肠刀（★ StatTrak™） | 森林 DDPAT (战痕累累),￥636.00,"
                            6"
短剑（★ StatTrak™） | 都市伪装 (破损不堪),￥1500.00,"
                            3"
鲍伊猎刀（★） | 人工染色 (破损不堪),￥666.00,"
                            43"
穿肠刀（★ StatTrak™） | 森林 DDPAT (战痕累累),￥636.00,"
                            6"
短剑（★ StatTrak™） | 都市伪装 (破损不堪),￥1500.00,"
                            3"
鲍伊猎刀（★） | 人工染色 (破损不堪),￥666.00,"
                            43"
折刀（★ StatTrak™） | 狩猎网格 (久经沙场),￥443.00,"
                            22"
M4A4（StatTrak™） | 沙漠精英 (崭新出厂),￥569.00,"
                            47"
系绳匕首（★ StatTrak™） | 枯焦之色 (破损不堪),￥610.00,"
                            4"
熊刀（★ StatTrak™） | 大马士革钢 (久经沙场),￥830.00,"
                            14"
M9 刺刀（★ StatTrak™） | 澄澈之水 (破损不堪),￥3216.00,"
                            6"
弯刀（★ StatTrak™） | 传说 (崭新出厂),￥1715.00,"
                            9"
穿肠刀（★ StatTrak™） | 自由之手 (久经沙场),￥639.00,"
                            13"
求生匕首（★ StatTrak™） | 夜色 (破损不堪),￥660.00,"
                            9"
印花 | Kvik | 2018年波士顿锦标赛,￥32.32,"
                            2"
穿肠刀（★ StatTrak™） | 表面淬火 (破损不堪),￥1267.00,"
                            3"
暗影双匕（★） | 自动化 (破损不堪),￥452.00,"
                            13"
求生匕首（★ StatTrak™） | 蓝钢 (久经沙场),￥1118.00,"
                            4"
穿肠刀（★） | 北方森林 (破损不堪),￥446.00,"
                            15"
AWP（StatTrak™） | 红线 (破损不堪),￥1255.00,"
                            3"
布章 | Renegades | 2021年斯德哥尔摩锦标赛,￥23.12,"
                            4"
猎杀者匕首（★ StatTrak™） | 森林 DDPAT (久经沙场),￥770.00,"
                            7"
暗影双匕（★ StatTrak™） | 致命紫罗兰 (破损不堪),￥892.00,"
                            4"
求生匕首（★ StatTrak™） | 蓝钢 (久经沙场),￥1118.00,"
                            4"
穿肠刀（★） | 北方森林 (破损不堪),￥446.00,"
                            15"
AWP（StatTrak™） | 红线 (破损不堪),￥1255.00,"
                            3"
布章 | Renegades | 2021年斯德哥尔摩锦标赛,￥23.12,"
                            4"
猎杀者匕首（★ StatTrak™） | 森林 DDPAT (久经沙场),￥770.00,"
                            7"
暗影双匕（★ StatTrak™） | 致命紫罗兰 (破损不堪),￥892.00,"
                            4"
骷髅匕首（★ StatTrak™） | 屠夫 (略有磨损),￥3442.00,"
                            11"
弯刀（★ StatTrak™） | 北方森林 (久经沙场),￥872.00,"
                            8"
折刀（★ StatTrak™） | 都市伪装 (战痕累累),￥672.00,"
                            2"
弯刀（★ StatTrak™） | 蓝钢 (战痕累累),￥1598.00,"
                            2"
海豹短刀（★ StatTrak™） | 森林 DDPAT (久经沙场),￥604.00,"
                            17"
折叠刀（★ StatTrak™） | 人工染色 (破损不堪),￥1246.00,"
                            7"
暗影双匕（★ StatTrak™） | 蓝钢 (破损不堪),￥880.00,"
                            5"
暗影双匕（★） | 狩猎网格 (略有磨损),￥593.00,"
                            9"
印花 | Brollan（闪亮）| 2019年卡托维兹锦标赛,￥45.87,"
                            5"
G3SG1 | 沙漠风暴 (崭新出厂),￥1.54,"
                            54"
音乐盒 | James and the Cold Gun，嚼玻璃,￥3.18,"
                            20"
沙漠之鹰 | 轻轨 (略有磨损),￥12.10,"
                            71"
USP消音版（StatTrak™） | 闪回 (略有磨损),￥15.53,"
                            51"
2021年斯德哥尔摩锦标赛炙热沙城 II 纪念包,￥29.53,"
                            20"
暗影双匕（★ StatTrak™） | 致命紫罗兰 (破损不堪),￥892.00,"
                            4"
骷髅匕首（★ StatTrak™） | 屠夫 (略有磨损),￥3442.00,"
                            11"
弯刀（★ StatTrak™） | 北方森林 (久经沙场),￥872.00,"
                            8"
折刀（★ StatTrak™） | 都市伪装 (战痕累累),￥672.00,"
                            2"
弯刀（★ StatTrak™） | 蓝钢 (战痕累累),￥1598.00,"
                            2"
海豹短刀（★ StatTrak™） | 森林 DDPAT (久经沙场),￥604.00,"
                            17"
折叠刀（★ StatTrak™） | 人工染色 (破损不堪),￥1246.00,"
                            7"
暗影双匕（★ StatTrak™） | 蓝钢 (破损不堪),￥880.00,"
                            5"
暗影双匕（★） | 狩猎网格 (略有磨损),￥593.00,"
                            9"
印花 | Brollan（闪亮）| 2019年卡托维兹锦标赛,￥45.87,"
                            5"
G3SG1 | 沙漠风暴 (崭新出厂),￥1.54,"
                            54"
音乐盒 | James and the Cold Gun，嚼玻璃,￥3.18,"
                            20"
沙漠之鹰 | 轻轨 (略有磨损),￥12.10,"
                            71"
USP消音版（StatTrak™） | 闪回 (略有磨损),￥15.53,"
                            51"
2021年斯德哥尔摩锦标赛炙热沙城 II 纪念包,￥29.53,"
                            20"
封装的涂鸦 | 王 (深绿),￥0.07,"
                            35"
AWP | 蠕虫之神 (崭新出厂),￥27.00,"
                            362"
新星（StatTrak™） | 幽灵迷彩 (久经沙场),￥20.38,"
                            23"
MAC-10（StatTrak™） | 萌猴迷彩 (久经沙场),￥0.90,"
                            36"
沙漠之鹰 | 星尘拱廊 (久经沙场),￥446.00,"
                            138"
折叠刀（★ StatTrak™） | 多普勒 (崭新出厂),￥2631.00,"
                            20"
街头士兵 | 凤凰战士,￥269.00,"
                            422"
法玛斯 | 幕后主谋 (久经沙场),￥703.00,"
                            11"
新星 | 极地网格 (破损不堪),￥0.21,"
                            4"
AWP | 电子蜂巢 (崭新出厂),￥749.00,"
                            104"
鲍伊猎刀（★ StatTrak™） | 致命紫罗兰 (破损不堪),￥1159.00,"
                            3"
2014年 ESL One 科隆锦标赛传奇,￥718.00,"
                            19"
法玛斯 | 防滚架 (久经沙场),￥761.00,"
                            347"
M4A1消音版 | 暴怒野兽 (久经沙场),￥841.99,"
                            685"
M4A4 | 弹雨 (略有磨损),￥998.97,"
                            118"
Tec-9（纪念品） | 上古图腾 (战痕累累),￥12.86,"
                            9"
沙漠之鹰 | 印花集 (久经沙场),￥225.00,"
                            1267"
AWP | 印花集 (久经沙场),￥347.98,"
                            656"
R8左轮手枪（StatTrak™） | 头骨粉碎者 (破损不堪),￥64.69,"
                            2"
AUG | 变色龙 (崭新出厂),￥613.99,"
                            122"
M4A1消音版 | 机械工业 (久经沙场),￥936.00,"
                            592"
运动手套（★） | 夜行衣 (久经沙场),￥4848.00,"
                            107"
AWP | 鬼退治 (略有磨损),￥3999.00,"
                            38"
FN57（StatTrak™） | 都市危机 (略有磨损),￥26.34,"
                            41"
SCAR-20 | 棕榈色 (略有磨损),￥128.00,"
                            4"
FN57（StatTrak™） | 都市危机 (略有磨损),￥26.34,"
                            41"
SCAR-20 | 棕榈色 (略有磨损),￥128.00,"
                            4"
法玛斯（纪念品） | 2A2F (久经沙场),￥5.82,"
                            47"
