序号,题号,题目名称,难度,通过率,挑战人数,标签
4821,635,瓷砖样式,中,87%,1215,2017、国赛
4822,657,愤怒小鸟,难,93.7%,1216,2016、国赛
4823,432,打靶,难,88.2%,1217,2016、国赛、代码填空
4824,2966,寻找黄金宝藏,难,56.1%,1219,思维、前缀和、二分
4825,3828,最短路问题,易,93.8%,1220,Floyd、数学
4826,20146,数学题,难,1.8%,1223,国赛、2024
4827,19766,牛郎的微信群【算法赛】,中,74.7%,1224,图论、思维
4828,488,最近距离,中,91.2%,1230,2011、省赛、代码填空
4829,479,轮换,中,90.3%,1233,2011、省赛、代码填空
4830,469,方阵旋转,中,92.4%,1234,2012、省赛、代码填空
4831,481,概率问题,中,93.6%,1234,2011、省赛、代码填空
4832,636,哥德巴赫分解,难,88.7%,1237,2017、国赛
4833,336,小凯的疑惑,难,94.7%,1238,2017、构造、NOIP
4834,433,棋子换位,难,80.6%,1238,2016、国赛、代码填空
4835,20541,魔法科考试,易,55%,1239,省赛、2025
4836,20134,美丽区间,易,79.9%,1239,国赛、2024
4837,18415,112循环,易,81.4%,1243,思维、数学
4838,17078,春天的杜鹃花,中,98.8%,1245,模拟
4839,20313,最佳航线【算法赛】,中,62.2%,1248,思维、贪心
4840,347,买铅笔,难,94.6%,1248,2016、模拟、NOIP
4841,20646,数学老师的第一课【算法赛】,中,95.5%,1250,
4842,1317,青蛙的约会,难,84.8%,1253,EXGCD
4843,20531,黑客,中,57.2%,1253,省赛、2025
4844,19794,武功秘籍【算法赛】,中,46.4%,1253,数学、贡献计算
4845,3751,依依的瓶中信,难,97.1%,1257,字典树
4846,828,星球大战,难,89.7%,1261,并查集、JSOI
4847,19680,龙骑士军团【算法赛】,中,65.8%,1261,ST表、树状数组、线段树、前缀和、数据结构
4848,3475,相或为k,难,87.5%,1263,位运算
4849,4329,树的连边II,易,95.4%,1263,树形DP
4850,483,开平方,中,93.5%,1264,2011、省赛、代码填空
4851,625,阅兵方阵,难,93.7%,1267,2018、国赛
4852,3752,字符串的变换计数,易,85.8%,1270,字符串hash、思维
4853,1627,小蓝的01串,中,94.7%,1272,Manacher、字符串hash
4854,20524,好串的数目,中,66.9%,1274,省赛、2025
4855,2303,补齐回文串,难,84.8%,1275,2022、暴力
4856,2267,核酸天数,中,96.4%,1276,2022
4857,1309,A+B plus,难,86.1%,1277,高精度
4858,19768,久别重逢【算法赛】,中,68.7%,1277,动态规划
4859,1132,区间第k小,难,52.2%,1277,整体二分、主席树
4860,384,积木大赛,中,88.6%,1277,2013、模拟、贪心、NOIP
4861,4185,费马小定理求逆元,易,94.9%,1279,费马小定理
4862,3747,繁忙的精神疗养院,易,96.2%,1280,队列
4863,20519,01 串,中,23.6%,1281,省赛、2025
4864,18498,字符串加法【算法赛】,中,72.7%,1284,模拟
4865,3599,AnotherEightPuzzle,易,3.3%,1290,DFS
4866,4136,鸡哥的冒险之旅,难,84.4%,1291,并查集、矩阵
4867,480,中奖计算,中,91.8%,1292,2011、省赛、代码填空
4868,554,开心的金明,难,92.2%,1301,2006、NOIP、动态规划、背包问题
4869,5484,直角三角形的判断,中,95.4%,1302,语法、数学
4870,442,关联账户,中,95.7%,1305,2015、国赛、代码填空
4871,346,跳房子,中,48%,1307,2017、单调队列、NOIP、动态规划、二分
4872,3824,开心,中,91.1%,1307,思维、DFS
4873,3384,爱吃糖的小蓝,难,77.4%,1308,前缀和、二分
4874,9494,小球碰撞【算法赛】,中,62.4%,1310,思维、动态规划、二分
4875,476,歌赛新规,中,97%,1310,2011、省赛、代码填空
4876,19980,凑单返现【算法赛】,中,58.2%,1311,唯一分解定理、约数定理、思维、数学
4877,19924,判定回文串,中,65.2%,1311,字符串hash
4878,19863,古墓机关【算法赛】,中,62.9%,1312,排列组合
4879,695,出栈次序,中,94.1%,1315,2014、国赛
4880,12049,黄金矿山,易,90.8%,1316,字符串
4881,1857,海狸1,难,89%,1320,引用
4882,8215,电池的选择,中,91.8%,1323,贪心、排序
4883,746,栈（Stack）,难,79.8%,1329,2003、栈、NOIP、递推、动态规划
4884,18496,六一晚餐【算法赛】,中,53.5%,1338,贪心、数学
4885,413,打印X,难,93.1%,1340,2018、省赛、代码填空
4886,761,最大公约数和最小公倍数问题,中,83.2%,1341,2001、枚举、NOIP
4887,1320,骰子,中,94.7%,1342,期望DP
4888,3845,大衣的异或回文对,易,71.3%,1343,暴力、思维、位运算
4889,714,颠倒的价牌,难,94.6%,1343,2013、省赛
4890,20174,六一儿童节,中,61%,1343,国赛、2024
4891,464,括号问题,中,90.5%,1344,2012、省赛、代码填空
4892,4247,阶乘的约数和,易,83%,1345,线性筛、数学、质因子分解
4893,20119,分组,中,85.9%,1346,国赛、2024
4894,1628,最短循环节问题,难,96.8%,1347,KMP、字符串hash
4895,2301,文件拷贝时间,中,91.8%,1347,2022、数学
4896,9495,集合划分【算法赛】,中,46.4%,1348,容斥、并查集、思维
4897,3676,小蓝吃糖果,易,68.2%,1350,线性筛、贪心、排序、前缀和、二分
4898,5491,立方体边长和圆球直径,中,96.5%,1350,模拟、语法
4899,3650,结果为真的序列II,易,94.3%,1351,思维、位运算、动态规划
4900,17013,黑白皇后【省模拟赛】,中,53.1%,1354,
4901,16938,幽兰寒香,中,98.3%,1357,模拟、语法
4902,975,幸运数字,难,2.8%,1357,快速幂、前缀和
4903,434,打印数字,难,92.9%,1359,2016、国赛、代码填空
4904,3753,诗歌双联,易,81.5%,1362,字符串hash、双指针
4905,457,逆波兰表达式,中,95.6%,1362,2013、省赛、代码填空
4906,18155,电量百分比,中,98.7%,1363,语法
4907,19799,朝廷查账【算法赛】,中,73.7%,1364,GCD、思维
4908,20325,逐火之旅【算法赛】,中,43.4%,1368,数位DP、动态规划
4909,361,神奇的幻方,中,95.5%,1368,2015、模拟、枚举、NOIP
4910,1809,判断推理是否有效的实例2,易,96.7%,1369,
4911,633,生命游戏,中,74%,1369,2017、国赛
4912,490,计算蔬菜总价,中,96.5%,1371,2011、省赛、代码填空
4913,1036,无方集合,中,64.5%,1372,2019、国赛
4914,683,方格填数,难,96.5%,1373,2015、国赛
4915,1153,数学竞赛,中,62.5%,1374,反素数
4916,20138,全 X 数,中,15.6%,1374,国赛、2024
4917,438,循环节长度,中,91.8%,1374,2015、省赛、代码填空
4918,478,n进制小数,难,92.7%,1374,2011、省赛、代码填空
4919,9491,数对统计【算法赛】,中,25%,1375,高维前缀和、思维
4920,1179,小明的背包6,难,89%,1375,树上背包、背包问题
4921,20140,设置密码,难,43.9%,1382,国赛、2024
4922,17004,食堂【算法赛】,中,37.1%,1383,动态规划
4923,20136,切木棒,易,77.4%,1386,国赛、2024
4924,20540,最大数字,中,36.5%,1387,省赛、2025
4925,4060,新一的神秘购物之旅,难,96.7%,1387,背包问题
4926,4354,举办聚会,易,83.6%,1389,树形DP、树的重心
4927,775,旅行家的预算,中,73.7%,1391,1999、贪心、NOIP、递归
4928,1801,判定“(P⇄Q)∧(P→Q)”的类别,易,96.9%,1391,
4929,20163,园丁,中,69.5%,1392,国赛、2024
4930,19840,Dijkstra求最短路2,中,88.8%,1393,Dijkstra、最短路问题
4931,11031,古堡之门：数字之和挑战,中,81.5%,1398,思维
4932,655,反幻方,难,94.6%,1398,2016、国赛
4933,1797,统计“﹁(P→Q)∧(P⇄R)”取值情形,易,96.2%,1400,
4934,20512,研发资源分配,难,42.3%,1403,省赛、2025
4935,19921,多重背包2,中,68.7%,1409,动态规划、背包问题
4936,1598,2021 公约数,中,95.2%,1413,2021、GCD、省模拟赛、代码填空
4937,19795,好汉身份【算法赛】,中,44.7%,1414,思维、贪心
4938,3818,混境之地3,易,83.2%,1417,Dijkstra
4939,1297,最小正整数解,中,95.7%,1418,裴蜀定理
4940,3223,出列,中,95%,1418,思维、位运算
4941,2482,时长计算,中,93.5%,1423,2022、省模拟赛
4942,19849,小鱼吃虾米,中,75.9%,1424,Dijkstra、最短路问题、反图
4943,18434,Java快读,中,93.9%,1425,语法
4944,2299,数字和,难,88.7%,1427,2022、动态规划
4945,20091,灵活区间【算法赛】,难,36.5%,1428,ST表、线段树、双指针
4946,784,数字游戏,中,94.9%,1429,思维、动态规划
4947,20137,球衣号码,中,71.3%,1429,国赛、2024
4948,3205,小明的素数对,难,91.8%,1430,容斥、快速幂
4949,262,农场阳光,中,13.2%,1432,2013、国赛、计算几何
4950,1620,分割立方体,中,94.6%,1432,思维、数学
4951,20320,狮子座的试炼【算法赛】,中,58.7%,1435,思维、贪心
4952,20054,银河纪元【算法赛】,难,29.8%,1439,线段树、数据结构
4953,20260,马与象,中,75.4%,1441,国赛、2024
4954,4496,求函数零点,难,80.4%,1446,二分
4955,20528,小说,难,50.5%,1450,省赛、2025
4956,1623,战斗吧N皇后,难,87.1%,1452,思维、数学、排列组合
4957,412,书号验证,难,93.2%,1453,2018、省赛、代码填空
4958,4202,阅读魔法书,易,86.9%,1456,AC自动机、字符串匹配
4959,20156,旋转九宫格,难,72.1%,1456,国赛、2024
4960,2018,求最大公约数,难,97.5%,1457,GCD、引用
4961,18428,Yaya与加减法【算法赛】,中,43.2%,1460,模拟、贪心
4962,20527,园艺,中,48.4%,1465,省赛、2025
4963,18429,Yaya与字符画【算法赛】,中,79.6%,1465,字符串、前缀和
4964,20321,星座解密【算法赛】,中,88.2%,1473,思维、位运算
4965,20492,暑假日记【算法赛】,中,70.9%,1475,
4966,20553,消失的蓝宝,中,67.7%,1479,省赛、2025
4967,19858,Multiset,易,79.3%,1480,STL
4968,20535,A · B Problem,中,31.8%,1482,省赛、2025
4969,20114,存钱,中,62.5%,1491,国赛、2024
4970,4533,排列问题,易,80.3%,1491,DFS
4971,3584,ZEROm的乘法运算,难,47.4%,1499,数学
4972,17162,学《树论》的贝贝2.0【算法赛】,难,67.7%,1499,思维、树
4973,19862,云顶天宫【算法赛】,中,65.6%,1499,思维、动态规划
4974,3749,小蓝的神奇复印机,易,88%,1499,队列
4975,12062,小蓝喝饮料,中,97%,1500,思维、数学
4976,1125,修建公路2,难,70.4%,1500,Kruskal、LCT、树链剖分、倍增
4977,4218,会面,易,94.6%,1500,Floyd
4978,8631,斐波拉契求和,中,94.7%,1500,语法
4979,423,希尔伯特曲线,中,81%,1502,2017、国赛、代码填空
4980,10012,集合统计【算法赛】,中,26.2%,1506,动态规划、数学
4981,415,格雷码,难,89.5%,1508,2018、国赛、代码填空
4982,3978,获胜的概率2,难,86.5%,1509,矩阵快速幂、概率
4983,17033,荒岛探测,难,13.2%,1510,2020、思维、省赛、计算几何
4984,3850,最优操作,易,78.5%,1511,模拟、双指针、思维、STL
4985,4061,新一的宝藏搜寻,难,92.5%,1511,背包问题
4986,20511,原料采购,中,41.8%,1515,省赛、2025
4987,1154,互质个数和,难,74.4%,1519,线性筛、欧拉函数
4988,18486,小蓝方程【算法赛】,中,85.8%,1522,数学
4989,319,格式化许可证密钥,难,90.9%,1534,字符串、模拟
4990,1035,骰子制造,难,85.1%,1535,2019、国赛
4991,237,分考场2019,难,3%,1535,2019、主席树、树状数组、树套树、线段树、国赛
4992,20507,甘蔗,中,45.8%,1536,省赛、2025
4993,331,货币系统,难,83%,1536,位运算、数学
4994,1190,LCIS,难,84.6%,1536,LCIS
4995,437,串逐位和,中,96.5%,1540,2015、省赛、代码填空
4996,1506,逆序对,难,96.1%,1541,树状数组
4997,1588,补 0 输出,中,97.4%,1546,2021、省模拟赛
4998,3645,守护博士,易,70.3%,1550,二分
4999,5092,星际争霸,难,84%,1559,逆序对、排序、归并排序
5000,19873,连通块中点的数量,中,91.9%,1561,连通块、并查集
5001,1535,斐波那契数列（存储版）,中,91.8%,1562,树
5002,805,三升序列,中,78.7%,1563,2019、国赛
5003,223,版本分支,难,57.2%,1569,2018、并查集、国赛、离线处理
5004,1373,七夕礼物,难,43.1%,1572,双指针
5005,271,生物芯片,中,70.5%,1573,2014、思维、国赛
5006,354,组合数问题,中,34%,1573,2016、前缀和、NOIP
5007,658,七星填数,难,94.1%,1579,2016、国赛
5008,463,扑克牌移动,难,96.9%,1580,2012、省赛、代码填空
5009,630,图书排列,中,94.2%,1581,2017、国赛
5010,2484,第P页,中,95.4%,1582,2022、省模拟赛
5011,20312,训练反应力【算法赛】,中,56.4%,1586,模拟、STL
5012,1071,串的前缀,中,82.5%,1587,KMP、字符串、POI
5013,586,换算,中,70.8%,1587,2020、省模拟赛
5014,3649,最长乘积链,易,89.6%,1588,树形DP
5015,651,拼棋盘,难,49.1%,1588,2016、国赛
5016,723,填算式,中,96.9%,1591,2013、国赛
5017,19926,分球,易,72.8%,1592,数学、排列组合
5018,19773,仙男仙女【算法赛】,中,62.2%,1593,模拟
5019,5105,寻找食物储量,易,88.8%,1593,二分
5020,20130,进制判断,中,71.7%,1602,国赛、2024
5021,17168,忙碌的售票员【算法赛】,中,36.5%,1603,思维、贪心
5022,19872,单调队列,中,90.1%,1604,单调队列
5023,5628,宝石塔的亮度差异,中,96.1%,1605,贪心、排序、枚举
5024,448,大衍数列,中,96.6%,1607,2014、省赛、代码填空
5025,12040,蛋糕盛宴,易,93.1%,1608,贪心
5026,19796,情报传递2【算法赛】,中,21.1%,1609,思维、数学
5027,17048,装饰珠,中,32.5%,1609,2019、省赛、分组背包、动态规划
5028,16955,岁月流转,中,96.7%,1610,枚举、日期问题
5029,3742,小蓝的神秘盒子,易,94.8%,1611,栈
5030,4989,阿坤老师的异域字母谜,难,78%,1613,字符串、模拟
5031,20547,电池分组,易,86.9%,1614,省赛、2025
5032,516,分数线划定,难,88.4%,1616,2009、模拟、排序、NOIP
5033,3178,你也喜欢幸运字符串吗？,难,78.3%,1616,KMP、动态规划
5034,4851,音乐会中的音谐度,中,74.6%,1617,模拟
5035,692,海盗分金币,中,96.9%,1618,2014、国赛
5036,753,选数,中,91.2%,1624,2002、NOIP、搜索、质数
5037,774,回文数,中,67.5%,1625,1999、字符串、模拟、NOIP
5038,491,计算行程,中,97.5%,1625,2011、省赛、代码填空
5039,1547,制作回文串,难,94.9%,1626,区间DP
5040,3765,电影放映计划,中,85.9%,1626,动态规划
5041,446,打印图形,中,96.4%,1632,2014、省赛、代码填空
5042,450,圆周率,中,95.4%,1632,2014、省赛、代码填空
5043,660,搭积木,难,96.4%,1637,2016、省赛
5044,290,绘制表格,难,90.5%,1639,2011、模拟、省赛
5045,19782,逆天改命【算法赛】,中,70.4%,1639,思维
5046,20171,gcd与lcm,中,85.1%,1640,国赛、2024
5047,638,9数算式,难,90%,1641,2017、省赛
5048,1774,积木,难,20.8%,1642,2021、快速幂、NTT、生成函数、国赛
5049,19800,村长分钱【算法赛】,中,48.7%,1646,思维、数学、因数分解
5050,5315,张三的社团小游戏1,难,33.8%,1646,动态规划
5051,17127,游戏的得分,难,6.1%,1651,2023、BSGS、国赛
5052,623,海盗与金币,中,95.7%,1655,2018、国赛
5053,6003,递归函数,难,68.6%,1659,蓝桥杯备赛练习题
5054,19871,单调栈,中,85.4%,1663,单调栈
5055,18487,最小值取余【算法赛】,中,72.9%,1669,思维、贪心、数学
5056,1204,前缀判定,中,92.4%,1669,字典树
5057,1609,居中输出,中,93.7%,1670,2021、省模拟赛
5058,18479,数学魔术家【算法赛】,中,78.1%,1672,贪心
5059,391,国王游戏,难,70%,1673,2012、贪心、排序、高精度、NOIP
5060,779,阶乘之和,难,76.2%,1674,1998、高精度、NOIP
5061,557,能量项链,难,95%,1674,2006、NOIP、区间DP、动态规划
5062,19771,牛郎取名【算法赛】,中,92.4%,1675,字符串、模拟
5063,20117,儿童数,易,69.8%,1675,国赛、2024
5064,20518,书架还原,易,63.6%,1676,省赛、2025
5065,697,神奇6位数,中,97.3%,1676,2014、国赛
5066,20544,抽奖,中,82%,1680,省赛、2025
5067,6281,星石传送阵【算法赛】,中,55.6%,1680,最短路问题
5068,273,殖民地,中,17.9%,1682,2014、模拟、国赛
5069,20319,星座骑士【算法赛】,中,75.1%,1684,思维、数学、排列组合
5070,424,表达式计算,中,95.3%,1688,2017、国赛、代码填空
5071,18483,矿石样本分析【算法赛】,易,60%,1690,思维、枚举
5072,717,黄金连分数,中,87%,1692,2013、省赛
5073,20517,2 的幂,中,37%,1693,省赛、2025
5074,429,打印方块,中,97%,1694,2016、省赛、代码填空
5075,20546,变换数组,易,90.6%,1697,省赛、2025
5076,8664,蛋糕的美味值,中,91.8%,1699,枚举
5077,5424,小蓝找答案,难,73.9%,1700,构造
5078,20028,商铺评分【算法赛】,难,15.6%,1703,线段树
5079,3816,混境之地1,中,80.5%,1703,Dijkstra、BFS
5080,20324,blue密钥【算法赛】,易,30.9%,1707,字符串、模拟、思维
5081,1791,谁打碎了花盆？,易,95.7%,1708,
5082,1366,随机数据下的最短路问题,难,87.7%,1714,SPFA
5083,20152,兔子集结,中,67.3%,1715,国赛、2024
5084,3811,闪耀的灯光,中,93.2%,1715,二维前缀和
5085,10043,统计天数,中,95.4%,1716,模拟
5086,2048,爱找事的小Z,中,91.6%,1717,字典树
5087,632,平方十位数,中,94.7%,1722,2017、国赛
5088,495,组合数问题,中,95.7%,1729,2011、国赛、代码填空
5089,477,反转串,中,97.3%,1734,2011、省赛、代码填空
5090,20552,IPv6,难,23.6%,1735,省赛、2025
5091,20252,最大的十字【省模拟赛】,中,46.4%,1738,
5092,3971,阿坤老师切割年糕,中,71%,1738,因数分解
5093,890,最大子矩阵,中,21.3%,1739,前缀和、SCOI、动态规划
5094,3962,阿坤老师的三种神秘动物,中,88%,1744,思维、数学
5095,1051,循环小数,中,72.7%,1747,2020、国赛、数学
5096,19765,织女的考验【算法赛】,中,61.2%,1747,字符串、枚举
5097,4250,大衣的旅行,易,80.3%,1752,二分、二维前缀和
5098,19792,书架排列,中,61.1%,1753,链表、模拟
5099,1261,小明的宠物袋,中,93.1%,1754,状压dp
5100,4355,苛刻的装修要求,易,63.3%,1757,贪心、二分
5101,712,排它平方数,难,94.8%,1757,2013、省赛
5102,1510,最大最小公倍数,难,88.2%,1757,贪心
5103,232,整理玩具,难,80.4%,1757,2018、暴力、思维、国赛
5104,1207,MAX最值差,中,88.5%,1759,单调队列
5105,19677,全国科普行动日【算法赛】,中,98.7%,1765,语法
5106,20542,最多次数,易,73.1%,1766,省赛、2025
5107,3029,卖树,中,90%,1767,图论、树的直径、树形DP
5108,694,年龄巧合,难,95.7%,1770,2014、国赛
5109,2200,齿轮,难,58.3%,1772,2022、思维、国赛
5110,2374,完全平方数,难,68.2%,1773,2021、牛顿迭代法、省赛、二分
5111,4200,迷宫,易,66.7%,1776,Floyd
5112,6282,鲜花之海【算法赛】,中,36.5%,1777,二分
5113,767,进制转换,中,64.9%,1778,2000、NOIP
5114,266,Log大侠,难,5.6%,1782,2014、线段树、国赛
5115,20533,冷热数据队列,易,72.1%,1786,省赛、2025
5116,3931,星辰能量I,易,92.5%,1791,DFS
5117,398,瑞士轮,难,54.7%,1791,2011、模拟、快速排序、归并排序、NOIP
5118,11038,互质子集,中,73.1%,1792,数学
5119,20549,黑白棋,难,70.8%,1796,省赛、2025
5120,4986,蓝桥村的神秘农田,难,65.1%,1796,字符串
5121,426,抽签,难,96.3%,1796,2016、省赛、代码填空
5122,19775,求解组合数2,中,66%,1799,排列组合
5123,19861,净化王胖子【算法赛】,中,58.8%,1806,差分、贪心、前缀和
5124,20250,字符串拼接【省模拟赛】,中,83.7%,1809,
5125,161,练功,难,59.8%,1809,2020、省模拟赛、搜索
5126,926,涂色,中,96.4%,1811,CQOI、区间DP
5127,656,阶乘位数,难,96.2%,1813,2016、国赛
5128,3265,最长不重复字符串,难,94.4%,1814,双指针
5129,267,供水设施,中,1.7%,1818,2014、拓扑排序、国赛、动态规划
5130,1220,子集之和,难,81.1%,1822,折半查找
5131,20322,赛飞儿之旅【算法赛】,中,84.8%,1825,
5132,320,合并区间,难,83.9%,1833,模拟
5133,1788,比赛结果,易,94.6%,1844,
5134,700,神奇算式,中,92%,1850,2014、省赛
5135,20311,燃油交换【算法赛】,易,72.7%,1853,模拟、前缀和、分类讨论
5136,12114,小蓝的反击【算法赛】,中,29.9%,1855,双指针、倍增、二分
5137,621,字母阵列,难,83.2%,1858,2018、省赛
5138,4976,魔法石制作,中,86.8%,1859,思维、数学、排列组合
5139,525,传球游戏,难,93%,1860,2008、NOIP、递推、动态规划
5140,281,DNA比对,难,82.5%,1860,2012、国赛、动态规划
5141,17038,求余数【省模拟赛】,中,95.2%,1860,2023、模拟、省模拟赛
5142,4425,咖啡馆订单系统,中,91.4%,1873,希尔排序
5143,427,快排问题,中,95.7%,1875,2016、省赛、代码填空
5144,3261,位移,中,78.1%,1875,思维、二进制
5145,5379,第k大的数,中,92.3%,1876,堆
5146,2225,围栏,中,72.4%,1876,2022、国赛、计算几何
5147,679,九数分三组,难,94.9%,1877,2015、省赛
5148,289,5个砝码,难,85.1%,1878,2011、思维、省赛
5149,688,胡同门牌号,中,95.9%,1878,2015、国赛
5150,20537,红黑树,易,80.9%,1882,省赛、2025
5151,701,扑克序列,中,96.2%,1882,2014、省赛
5152,563,采药,难,92.2%,1886,2005、NOIP、动态规划、背包问题
5153,20251,最大出现子串【省模拟赛】,中,93.5%,1890,
5154,16984,谁是帕鲁？【算法赛】,中,78.3%,1891,规律、数位DP
5155,20563,LQ图形,易,90.2%,1894,省赛、2025
5156,19928,宝玉与黛玉的考验【算法赛】,中,41.5%,1894,思维、数学
5157,235,估计人数,难,50.2%,1894,2019、网络流、匈牙利算法、最小路径覆盖、国赛
5158,272,套娃,中,36.7%,1896,2014、DFS序、线段树、国赛
5159,326,龙虎斗,难,66%,1897,2018、模拟、暴力、枚举、NOIP
5160,18484,玩偶购买【算法赛】,易,67.2%,1900,思维、贪心、数学
5161,3217,简单的异或难题,中,95.7%,1901,思维、前缀和、动态规划、二进制
5162,2192,括号序列树,难,43.3%,1903,2022、思维、国赛
5163,17044,最大极小值与最小极大值【省模拟赛】,难,95.9%,1906,2023、模拟、省模拟赛
5164,20509,扫地机器人,中,28.9%,1907,省赛、2025
5165,17047,左右相同【省模拟赛】,中,92.6%,1907,2023、字符串、省模拟赛
5166,10010,异或与求和【算法赛】,中,38.9%,1911,位运算、排列组合
5167,17024,取气球【算法赛】,中,77.3%,1911,树形DP、树上背包
5168,1582,求路程,中,98%,1916,2021、省模拟赛
5169,2234,好等差数列,难,51.7%,1918,2022、树状数组、线段树、思维、国赛
5170,455,公约数公倍数,中,96.5%,1920,2013、省赛、代码填空
5171,3991,阿坤老师的烹饪评分系统,中,89.6%,1924,模拟
5172,4884,小桥的蓝桥四季园艺挑战,中,88.1%,1925,前缀和、语法
5173,20110,七边形,易,92%,1927,国赛、2024
5174,3124,建造国家,中,95.8%,1930,思维、BFS
5175,1152,质数判定,难,41.4%,1931,Miller_Rabin
5176,728,埃及分数,中,97.2%,1932,2013、国赛
5177,755,过河卒,中,89.3%,1936,2002、NOIP、动态规划
5178,650,随意组合,难,97.1%,1937,2016、国赛
5179,1286,点到直线距离,难,97%,1940,计算几何
5180,19855,你会二分吗？【算法赛】,难,74.7%,1942,贪心
5181,19682,完全背包,中,94.7%,1947,动态规划、完全背包
5182,704,奇怪的分式,难,96.3%,1948,2014、省赛
5183,1039,咫尺天涯,难,53.5%,1951,2020、模拟、国赛
5184,241,解谜游戏,难,81.1%,1953,2019、思维、国赛
5185,265,约数倍数选卡片,中,52.6%,1954,2013、国赛、博弈、DFS
5186,20515,地雷阵,易,71.8%,1960,省赛、2025
5187,1795,求“(P∨Q)∧(P→R)∧(Q→R)”成真赋值,易,94.1%,1961,
5188,1556,素数环,难,85.7%,1963,搜索、DFS
5189,11034,四位数密码锁,中,95.8%,1964,DFS
5190,1507,字符串转换,难,87.5%,1968,动态规划
5191,510,三国游戏,难,73.7%,1968,2010、贪心、NOIP、博弈
5192,20318,守护射手座【算法赛】,中,63.2%,1969,模拟
5193,9991,魔术师【算法赛】,中,37.7%,1977,线段树
5194,20116,儿童节快乐,中,56.6%,1978,国赛、2024
5195,1284,求解质因子,中,85.1%,1982,唯一分解定理、约数定理
5196,20489,数字炸弹【算法赛】,中,83.3%,1983,
5197,18478,卡java排序,中,93.7%,1984,快速排序、排序、STL
5198,19929,清洁客房【算法赛】,中,34.6%,1984,动态规划
5199,20554,最长字符串,难,23.3%,1992,省赛、2025
5200,4353,仲夏！幻夜？奇想曲！,易,60.3%,1994,动态规划
5201,654,平方末尾,中,95.5%,1996,2016、国赛
5202,19745,蟠桃树【算法赛】,中,55.8%,1999,DFS、树
5203,2235,小球称重,难,52.5%,2003,2022、思维、国赛
5204,4527,小蓝的最大集合,易,95.3%,2005,堆、思维
5205,270,拼接平方数,难,89.6%,2006,2014、模拟、国赛
5206,3399,小蓝的操作,中,90.7%,2010,差分、思维
5207,2302,单词去重,难,94.5%,2011,2022、哈希表
5208,3648,全部都有的子序列,中,90.4%,2013,双指针
5209,19676,A%B【算法赛】,中,71.6%,2014,模拟、语法、数学
5210,689,四阶幻方,难,87%,2018,2015、国赛
5211,20033,战斗力评估【算法赛】,中,39.2%,2020,思维、分治、位运算、二进制
5212,322,Nim 游戏,难,97.1%,2024,博弈
5213,20513,异或和,难,26.1%,2026,省赛、2025
5214,862,聪明的猴子,中,80.2%,2029,动态规划
5215,414,稍小分数,中,96.9%,2029,2018、省赛、代码填空
5216,3255,重新排队,中,93.8%,2030,链表
5217,3685,肖恩的n次根,中,76.8%,2039,思维、二分
5218,1263,逆序数,难,72.3%,2045,逆序对、归并排序
5219,4883,辣椒优惠券的抉择,中,85.5%,2046,思维、动态规划、语法
5220,1140,最小质因子之和(Hard Version),难,83.4%,2053,线性筛
5221,3333,肖恩的排序,难,90.7%,2064,思维、排序
5222,637,数字划分,中,96.4%,2065,2017、国赛
5223,243,燃烧权杖,难,2.2%,2066,2019、国赛、期望DP
5224,3072,减肥,中,75.6%,2067,思维、递推、动态规划
5225,11109,股票交易优化,易,29.7%,2071,队列、贪心
5226,4900,最小的或运算,中,94.8%,2074,位运算
5227,332,赛道修建,中,40.6%,2077,2018、贪心、NOIP、二分、DFS
5228,19857,基础排序实现,中,96.3%,2078,排序
5229,17125,连续数组,中,38.7%,2078,2023、国赛、状压DP、排列组合
5230,3653,最多的金币数量,易,89.4%,2083,思维、BFS
5231,3263,选题,中,94.9%,2086,暴力、二进制
5232,19750,拯救美猴王【算法赛】,中,56.1%,2087,枚举
5233,20529,倒水,中,59.1%,2087,省赛、2025
5234,17041,台阶方案【省模拟赛】,难,86.3%,2097,2023、动态规划
5235,3334,疑似素数,中,80.9%,2099,暴力、枚举
5236,3997,阿坤老师的课堂挑战,中,21%,2100,思维
5237,2340,单点修改，区间查询,中,96.6%,2112,线段树
5238,1337,走多远,难,93.1%,2112,拓扑排序
5239,19874,并查集,中,92.8%,2114,并查集、数据结构
5240,3637,盗墓分赃2,中,90.3%,2116,背包问题
5241,1155,乘积幂次,中,92%,2120,欧拉降幂、欧拉函数
5242,12099,三点共线,中,87.1%,2122,计算几何
5243,343,成绩,中,97.7%,2130,2017、NOIP
5244,3595,Hanoi塔,易,52.7%,2131,递推、递归
5245,20111,宝塔,难,94.8%,2131,国赛、2024
5246,20488,零食争议【算法赛】,中,97.4%,2133,
5247,20522,拼好数,难,38.2%,2133,省赛、2025
5248,20317,守护神开会【算法赛】,中,81.8%,2141,思维、数学
5249,640,外星日历,中,93.7%,2141,2017、省赛
5250,653,凑平方数,中,88.1%,2141,2016、国赛
5251,3601,Frog,易,88.5%,2148,动态规划
5252,2945,蓝桥课程抢购,难,88.2%,2152,动态规划
5253,20052,曲率驱动【算法赛】,中,68.3%,2153,图论、最短路问题
5254,1578,年份计数,中,97%,2159,2021、省赛、代码填空
5255,691,生成回文数,难,93.2%,2159,2015、国赛
5256,471,大数乘法,中,96.8%,2160,2012、省赛、代码填空
5257,1034,切割,中,73.8%,2162,2019、国赛
